"","countries","text"
"1","Denmark","34,000 [16,000 - 50,000]"
"2","Italy","660,000 [540,000 - 780,000]"
"3","Germany","570,000 [380,000 - 790,000]"
"4","Spain","480,000 [390,000 - 560,000]"
"5","United_Kingdom","5e+05 [4e+05 - 610,000]"
"6","France","710,000 [570,000 - 850,000]"
"7","Norway","12,000 [3,100 - 24,000]"
"8","Belgium","110,000 [93,000 - 140,000]"
"9","Austria","65,000 [40,000 - 87,000]"
"10","Sweden","29,000 [15,000 - 49,000]"
"11","Switzerland","54,000 [35,000 - 74,000]"
"2.5%","Total","3,200,000 [2,900,000 - 3,600,000]"
